Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-5718.413	-5891.409	172.9965	0.9646903	6.191735
6	-5722.131	-5895.527	173.3965	1.025193	5.940763
12	-5718.962	-5892.38	173.4184	1.003337	5.940763
18	-5726.323	-5900.7	174.3771	1.117188	5.352309
24	-5721.704	-5896.67	174.9662	1.167542	4.998371
30	-5721.693	-5895.689	173.9965	1.153604	5.541817
36	-5729.31	-5904.209	174.8991	1.235801	4.997731
42	-5717.185	-5893.007	175.822	1.153064	4.528365
48	-5715.299	-5889.711	174.4112	1.184933	5.296121
54	-5705.683	-5880.385	174.7025	1.175413	5.140286
60	-5707.118	-5884.039	176.9206	1.342887	3.795915
66	-5715.055	-5891.375	176.32	1.328622	4.147646
72	-5711.174	-5888.005	176.8313	1.37332	3.8298
78	-5713.745	-5890.638	176.8927	1.311946	3.8298
84	-5717.714	-5894.078	176.3637	1.263823	4.159643
90	-5719.638	-5894.183	174.5444	1.195696	5.216592
96	-5715.582	-5890.891	175.3084	1.186502	4.79731
102	-5710.869	-5884.755	173.8857	1.072549	5.647176
108	-5708.476	-5882.624	174.1483	1.08824	5.494274
114	-5705.601	-5879.164	173.5625	1.025582	5.84988
120	-5706.845	-5879.514	172.6692	0.962086	6.370926
126	-5708.056	-5879.054	170.9977	0.9321377	7.288984
132	-5717.832	-5890.804	172.9721	0.9927367	6.189726
138	-5704.621	-5878.364	173.7427	1.058919	5.733015
144	-5711.861	-5884.799	172.9377	1.145247	6.12545
150	-5723.213	-5898.618	175.4051	1.215352	4.727164
156	-5721.169	-5896.139	174.9693	1.215352	4.970131
162	-5712.56	-5888.135	175.5749	1.257882	4.608227
168	-5707.631	-5882.855	175.2241	1.199181	4.837253
174	-5704	-5879.04	175.0406	1.18088	4.949619
180	-5708.632	-5883.599	174.9663	1.109786	5.030423
186	-5708.25	-5882.876	174.6263	1.144746	5.19945
192	-5712.968	-5887.837	174.8692	1.101471	5.088883
198	-5711.201	-5886.034	174.8331	1.137646	5.088883
204	-5729.107	-5904.045	174.938	1.190387	5.001356
210	-5715.338	-5889.161	173.8232	1.077819	5.678566
216	-5719.776	-5894.137	174.3607	1.040021	5.403892
222	-5721.565	-5894.642	173.077	0.9824548	6.138259
228	-5713.99	-5887.507	173.5165	1.050135	5.861586
234	-5718.392	-5891.579	173.1877	1.141865	5.991065
240	-5715.849	-5889.947	174.0971	1.109211	5.510913
246	-5725.951	-5899.429	173.4781	1.059542	5.877425
252	-5720.253	-5892.447	172.1948	0.91078	6.655678
258	-5713.709	-5886.454	172.7446	0.9369998	6.343631
264	-5720.736	-5894.65	173.9141	1.09458	5.619467
270	-5724.01	-5897.857	173.8474	1.16134	5.619467
276	-5727.441	-5901.987	174.5458	1.18078	5.224071
282	-5727.84	-5904.179	176.3392	1.158799	4.233203
288	-5720.208	-5896.287	176.0786	1.237913	4.335893
